OrderID,OrderDate,Month,Region,Product,Category,SalesPerson,Quantity,UnitPrice,Sales
1,2024-11-29,November,North,Tablet,Electronics,Riya,5,5000,25000
2,2024-10-25,October,North,Keyboard,Accessories,Rahul,4,1200,4800
3,2024-08-02,August,North,Laptop,Electronics,Rahul,3,5000,15000
4,2024-01-31,January,North,Laptop,Electronics,Rahul,18,5000,90000
5,2024-10-22,October,West,Mouse,Accessories,Amit,19,500,9500
6,2024-03-09,March,East,Phone,Electronics,Priya,2,15000,30000
7,2024-10-19,October,East,Phone,Electronics,Neha,18,500,9000
8,2024-11-23,November,South,Laptop,Electronics,Vikas,19,15000,285000
9,2024-02-02,February,North,Laptop,Electronics,Rahul,18,30000,540000
10,2024-06-09,June,West,Monitor,Accessories,Karan,18,5000,90000
11,2024-04-02,April,South,Tablet,Electronics,Riya,10,800,8000
12,2024-09-10,September,East,Keyboard,Accessories,Karan,10,15000,150000
13,2024-03-01,March,West,Tablet,Electronics,Neha,20,500,10000
14,2024-08-03,August,North,Tablet,Electronics,Riya,5,5000,25000
15,2024-06-23,June,East,Keyboard,Accessories,Karan,19,1200,22800
16,2024-02-17,February,East,Keyboard,Accessories,Karan,15,500,7500
17,2024-12-25,December,East,Mouse,Accessories,Karan,3,500,1500
18,2024-06-26,June,North,Tablet,Electronics,Karan,13,30000,390000
19,2024-02-29,February,West,Tablet,Electronics,Amit,6,15000,90000
20,2024-05-06,May,West,Phone,Electronics,Priya,10,800,8000
21,2024-08-17,August,West,Monitor,Accessories,Sneha,3,800,2400
22,2024-05-22,May,West,Phone,Electronics,Vikas,14,15000,210000
23,2024-03-18,March,North,Mouse,Accessories,Neha,13,800,10400
24,2024-04-29,April,North,Phone,Electronics,Karan,8,30000,240000
25,2024-05-24,May,North,Keyboard,Accessories,Neha,6,1200,7200
26,2024-11-08,November,East,Monitor,Accessories,Neha,18,1200,21600
27,2024-12-01,December,North,Mouse,Accessories,Karan,17,15000,255000
28,2024-07-22,July,West,Mouse,Accessories,Priya,18,5000,90000
29,2024-07-24,July,North,Laptop,Electronics,Rahul,16,30000,480000
30,2024-03-24,March,North,Laptop,Electronics,Vikas,7,5000,35000
31,2024-01-01,January,South,Keyboard,Accessories,Riya,2,500,1000
32,2024-02-06,February,South,Tablet,Electronics,Priya,20,500,10000
33,2024-11-04,November,East,Phone,Electronics,Karan,9,1200,10800
34,2024-08-26,August,West,Laptop,Electronics,Karan,4,5000,20000
35,2024-02-22,February,East,Tablet,Electronics,Sneha,3,800,2400
36,2024-01-12,January,South,Monitor,Accessories,Vikas,6,15000,90000
37,2024-09-27,September,East,Phone,Electronics,Riya,18,500,9000
38,2024-07-06,July,South,Mouse,Accessories,Vikas,9,15000,135000
39,2024-09-14,September,East,Phone,Electronics,Rahul,18,15000,270000
40,2024-07-24,July,South,Keyboard,Accessories,Rahul,7,800,5600
41,2024-01-15,January,North,Keyboard,Accessories,Sneha,16,1200,19200
42,2024-12-20,December,East,Monitor,Accessories,Karan,9,800,7200
43,2024-02-11,February,South,Mouse,Accessories,Riya,12,1200,14400
44,2024-06-21,June,South,Phone,Electronics,Karan,16,800,12800
45,2024-09-02,September,East,Keyboard,Accessories,Riya,20,500,10000
46,2024-12-30,December,South,Mouse,Accessories,Karan,4,5000,20000
47,2024-06-19,June,North,Phone,Electronics,Priya,14,30000,420000
48,2024-02-13,February,South,Monitor,Accessories,Neha,13,30000,390000
49,2024-10-29,October,West,Phone,Electronics,Neha,1,800,800
50,2024-12-02,December,East,Keyboard,Accessories,Neha,20,5000,100000
51,2024-01-11,January,North,Keyboard,Accessories,Riya,18,800,14400
52,2024-04-09,April,South,Keyboard,Accessories,Amit,5,5000,25000
53,2024-09-13,September,South,Tablet,Electronics,Vikas,7,1200,8400
54,2024-03-08,March,North,Tablet,Electronics,Vikas,18,5000,90000
55,2024-08-03,August,South,Monitor,Accessories,Neha,19,15000,285000
56,2024-08-13,August,South,Keyboard,Accessories,Amit,17,500,8500
57,2024-08-30,August,North,Phone,Electronics,Amit,6,800,4800
58,2024-10-11,October,West,Tablet,Electronics,Riya,17,15000,255000
59,2024-04-07,April,East,Keyboard,Accessories,Amit,2,800,1600
60,2024-10-14,October,North,Laptop,Electronics,Riya,17,5000,85000
61,2024-09-15,September,South,Monitor,Accessories,Sneha,11,15000,165000
62,2024-09-01,September,South,Monitor,Accessories,Sneha,17,15000,255000
63,2024-03-11,March,West,Keyboard,Accessories,Riya,7,5000,35000
64,2024-02-07,February,South,Monitor,Accessories,Priya,15,1200,18000
65,2024-06-04,June,North,Laptop,Electronics,Neha,7,30000,210000
66,2024-05-09,May,South,Mouse,Accessories,Karan,12,800,9600
